Id;Nom;Orientation;Alpi;Ski;Deniv.plus;Depart.id;Depart.altitude;Sommet.id;Sommet.nom;Sommet.longitude;Sommet.latitude;Sommet.altitude;M01;M02;M03;M04;M05;M06;M07;M08;M09;M10;M11;M12;S1999-2000;S2000-2001;S2001-2002;S2002-2003;S2003-2004;S2004-2005;S2005-2006;S2006-2007;S2007-2008;S2008-2009;S2009-2010;S2010-2011;S2011-2012;S2012-2013;S2013-2014;S2014-2015;S2015-2016;S2016-2017;S2017-2018;S2018-2019;S2019-2020;S2020-2021
4712;col-de-la-grande-casse;T;F;2.2;1450;54;1644;506;Col de la Grande Casse;6,8172;45,4114;3096;11;16;20;31;6;0;0;0;0;0;1;9;0;0;0;0;0;2;2;8;5;3;7;8;11;4;14;3;3;8;6;5;2;3
4743;pointe-des-buffettes;NE;F;2.2;1060;997;2530;3490;Pointe des Buffettes;7,0067;45,3656;3233;1;3;0;0;0;7;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;0;1;3;3;1;0;0;0
4767;pointe-renod-sommet-e;T;F;2.3;1300;358;2300;3512;Pointe Rénod - sommet E;6,61162;45,2444;3368;0;0;1;1;3;6;2;0;1;5;11;2;0;0;0;0;0;0;0;0;0;0;0;2;0;5;5;4;5;3;3;3;1;1
4768;col-du-palet;E;R;1.3;600;1285;2120;3513;Col du Palet;6,864;45,456;2652;1;0;2;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;1;0;1;0;1
4868;aiguille-du-fruit;T;PD;4.2;1300;55;1681;3591;Aiguille du Fruit;6,63111;45,3558;3051;7;8;3;2;3;0;0;0;0;0;6;10;0;0;0;0;0;0;0;0;0;0;0;5;5;1;1;0;3;8;6;1;8;1
4924;ouille-des-tretetes;SE;PD+;4.3;1150;685;1800;3631;Ouille des Trétêtes;7,02189;45,3938;2948;3;4;2;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;1;3;1;1;2;1;0
4930;croix-de-dom-juan-maurice;S;PD;5.2;1450;3079;1750;3633;Croix de Dom Juan Maurice;6,99718;45,3465;3146;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
4984;grande-motte;S;PD-;5.3;550;1285;2120;3674;Grande Motte;6,87006;45,4111;3653;1;2;0;1;3;2;1;1;1;8;12;5;0;0;0;0;0;0;0;0;0;0;0;1;4;2;5;6;5;1;3;6;2;2
4999;col-des-fonds;T;F;3.1;1230;55;1681;1332;Col des Fonds;6,6497;45,3076;2907;4;8;12;3;0;0;0;0;0;0;4;7;0;0;0;0;0;0;0;3;1;0;2;5;4;4;7;3;1;1;0;5;2;0
5154;pointe-du-creux-noir;SE;D-;5.2;1900;49;1490;505;Pointe du Creux Noir;6,7552;45,4057;3154;3;9;16;15;5;1;0;0;0;0;1;4;0;0;0;0;0;1;1;2;2;2;4;3;5;3;5;1;3;8;7;4;1;2
5204;mont-de-gebroulaz;SW;AD-;5.1;1200;358;2300;3826;Mont de Gébroulaz;6,62922;45,2747;3511;1;0;1;4;17;6;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;6;2;2;2;5;1;3;2
5223;pointe-des-chardes;N;F;3.2;1360;310;1475;3837;Pointe des Chardes;6,78189;45,4692;2919;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
5238;col-du-midi-de-bellecote;N;PD+;5.1;1750;355;1556;3848;Col du Midi de Bellecôte;6,79072;45,4909;3279;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0;0
5269;col-de-thorens;N;R;2.1;750;358;2300;3867;Col de Thorens;6,61692;45,2693;3114;0;0;0;1;1;2;0;0;0;0;10;1;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;3;1;2;2;1;1;0
5419;dos-de-cret-voland;SW;R;1.2;500;2384;1589;3971;Dos de Cret Voland;6,5234;45,42;2091;5;5;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;3;1;1;1
5646;col-du-mone;E;R;2.3;800;1148;1722;4133;Col du Mone;6,68322;45,3529;2533;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
5701;raid-vanoise;T;F;3.3;3080;317;1885;4170;Raid Vanoise;6,98;45,44;3343;0;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0
5745;dome-de-pramecou;T;F;2.1;950;1285;2120;4203;Dôme de Pramecou;6,87864;45,4342;3081;1;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;1
5770;aiguille-de-peclet;E;D;5.3;1500;358;2300;602;Aiguille de Peclet;6,6238;45,2812;3561;0;0;2;5;52;24;2;0;1;2;3;1;0;0;0;0;0;1;2;2;6;9;10;10;8;9;3;5;8;4;7;2;4;2
5774;pointe-de-la-rechasse;NW;AD-;5.1;1560;54;1644;1122;Pointe de la Réchasse;6,802;45,3734;3212;12;17;33;45;14;3;0;0;0;0;7;15;0;0;0;0;0;0;3;2;5;3;4;9;10;13;24;7;8;19;18;8;5;8
6022;dent-portetta;N;PD-;3.3;1200;699;1410;4429;Dent Portetta;6,6883;45,3836;2625;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
6048;pointe-de-l-echelle;T;F;3.2;3000;46;1530;3768;Pointe de l'Echelle;6,68509;45,2691;3422;1;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;3;0;0;0;0;0
6049;col-de-becca-motta;W;F;3.1;1438;49;1490;4450;Col de Becca Motta;6,75087;45,4318;2928;4;9;2;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;4;3;0;3;3;0;2
6063;aiguille-de-chanrossa;N;AD-;4.3;1400;1148;1722;4457;Aiguille de Chanrossa;6,6663;45,329;3045;1;1;1;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;1;2;1
6067;pointe-de-meribel;W;F;4.1;1620;1982;1240;4461;Pointe de Méribel;6,73412;45,4354;2833;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0
6120;petite-gliere;S;PD;5.1;1700;54;1644;4493;Petite Glière;6,79616;45,4109;3222;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;2;0
6231;pelaou-blanc;T;F;3.1;1950;317;1885;4585;Pélaou Blanc;7,00747;45,3985;3135;0;0;0;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;1;0;0;0;0;0
6247;le-grand-bec;NW;AD+;5.3;550;49;1490;1138;Le Grand Bec;6,7529;45,4235;3399;1;5;32;41;27;1;0;0;0;0;1;3;0;0;0;0;0;0;3;6;4;5;7;3;11;20;13;5;6;7;10;9;1;1
6297;pointe-de-claret;NE;PD-;3.2;1950;997;2530;4622;Pointe de Claret;6,97057;45,3418;3355;0;0;2;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;1;0;1;0
